"Name","Geoid","pa_or_restart_cat"
"Freeburg Community Consolidated School District 70","1715820","Did not receive either PA or Restart Grant"
"Grant Community Consolidated School District 110","1717310","Did not receive either PA or Restart Grant"
"High Mount School District 116","1718960","Did not receive either PA or Restart Grant"
"Cypress School District 64","1711520","Did not receive either PA or Restart Grant"
"Lick Creek Community Consolidated School District 16","1722860","Did not receive either PA or Restart Grant"
"Cook County School District 130","1706510","Did not receive either PA or Restart Grant"
"Indian Springs School District 109","1707170","Did not receive either PA or Restart Grant"
"Chicago Ridge School District 127-5","1709990","Did not receive either PA or Restart Grant"
"Cicero School District 99","1710200","Did not receive either PA or Restart Grant"
"Irvington County Community Unit School District 11","1720190","Did not receive either PA or Restart Grant"
"Ford Heights School District 169","1710950","Did not receive either PA or Restart Grant"
"Dolton School District 148","1712450","Did not receive either PA or Restart Grant"
"Community Consolidated School District 59","1713770","Did not receive either PA or Restart Grant"
"Evanston Community Consolidated School District 65","1714460","Did not receive either PA or Restart Grant"
"Skokie-Fairview School District 72","1714820","Did not receive either PA or Restart Grant"
"Forest Park School District 91","1715450","Did not receive either PA or Restart Grant"
"Oakdale Community Consolidated School District 1","1729310","Did not receive either PA or Restart Grant"
"Willow Grove School District 46","1742510","Did not receive either PA or Restart Grant"
"Glenview Community Consolidated School District 34","1716920","Did not receive either PA or Restart Grant"
"Homewood School District 153","1719530","Did not receive either PA or Restart Grant"
"Hoover-Schrum Memorial School District 157","1719680","Did not receive either PA or Restart Grant"
"Kenilworth School District 38","1720970","Did not receive either PA or Restart Grant"
"LaGrange School District 102","1721600","Did not receive either PA or Restart Grant"
"Community Consolidated School District 204","1731560","Did not receive either PA or Restart Grant"
"Beach Park Community Consolidated School District 3","1700010","Did not receive either PA or Restart Grant"
"Beach Park Community Consolidated School District 3","1700010","Did not receive either PA or Restart Grant"
"Deerfield School District 109","1711980","Did not receive either PA or Restart Grant"
"Kings Consolidated School District 144","1721130","Did not receive either PA or Restart Grant"
"Fox Lake Grade School District 114","1715630","Did not receive either PA or Restart Grant"
"Grayslake Consolidated Community School District 46","1717520","Did not receive either PA or Restart Grant"
"Kildeer Countryside Community Consolidated School District 96","1721030","Did not receive either PA or Restart Grant"
"Lake Forest School District 67","1721750","Did not receive either PA or Restart Grant"
"Mundelein Elementary School District 75","1727540","Did not receive either PA or Restart Grant"
"Oak Grove School District 68","1729130","Did not receive either PA or Restart Grant"
"Mannheim School District 83","1724330","Did not receive either PA or Restart Grant"
"Matteson Elementary School District 162","1725020","Did not receive either PA or Restart Grant"
"Palos Community Consolidated School District 118","1730600","Did not receive either PA or Restart Grant"
"Park Ridge Consolidated Community School District 64","1730840","Did not receive either PA or Restart Grant"
"Prospect Heights School District 23","1732850","Did not receive either PA or Restart Grant"
"River Grove School District 85-5","1733840","Did not receive either PA or Restart Grant"
"West Lincoln-Broadwell Elementary School District 92","1741600","Did not receive either PA or Restart Grant"
"Ladd Community Consolidated School District 94","1721510","Did not receive either PA or Restart Grant"
"Union Ridge School District 86","1739780","Did not receive either PA or Restart Grant"
"Grand Ridge Community Consolidated School District 95","1717220","Did not receive either PA or Restart Grant"
"Oglesby Elementary School District 125","1729670","Did not receive either PA or Restart Grant"
"Calumet City School District 155","1741520","Did not receive either PA or Restart Grant"
"Bartelso School District 57","1705160","Did not receive either PA or Restart Grant"
"Gifford Community Consolidated School District 188","1716650","Did not receive either PA or Restart Grant"
"Robein School District 85","1734170","Did not receive either PA or Restart Grant"
"Silvis School District 34","1736360","Did not receive either PA or Restart Grant"
"Selmaville Community Consolidated School District 10","1735770","Did not receive either PA or Restart Grant"
"Saratoga Community Consolidated School District 60C","1735400","Did not receive either PA or Restart Grant"
"Mazon-Verona-Kinsman Elementary School District 2C","1725190","Did not receive either PA or Restart Grant"
"South Wilmington Consolidated School District 74","1736840","Did not receive either PA or Restart Grant"
"Odell Community Consolidated School District 435","1729520","Did not receive either PA or Restart Grant"
"Germantown Hills School District 69","1716560","Did not receive either PA or Restart Grant"
"St. Rose School District 14-15","1737470","Did not receive either PA or Restart Grant"
"Crystal Lake Community Consolidated School District 47","1711350","Did not receive either PA or Restart Grant"
"Harrison School District 36","1718360","Did not receive either PA or Restart Grant"
"School Administrative District 28","2311130","Did not receive either PA or Restart Grant"
"Southwest Harbor","2312390","Did not receive either PA or Restart Grant"
"Holland School District","2506210","Did not receive either PA or Restart Grant"
"Holland School District","2506210","Did not receive either PA or Restart Grant"
"New Salem-Wendell School District","2508530","Did not receive either PA or Restart Grant"
"Northborough School District","2508880","Did not receive either PA or Restart Grant"
"Edgartown School District","2509090","Did not receive either PA or Restart Grant"
"Rochester School District","2510140","Received PA or Restart Grant"
"Rowe School District","2510230","Did not receive either PA or Restart Grant"
"Rowe School District","2510230","Did not receive either PA or Restart Grant"
"Savoy School District","2510530","Did not receive either PA or Restart Grant"
"Sudbury School District","2511340","Did not receive either PA or Restart Grant"
"Sunderland School District","2511370","Did not receive either PA or Restart Grant"
"Topsfield School District","2511670","Did not receive either PA or Restart Grant"
"Williamsburg School District","2512990","Did not receive either PA or Restart Grant"
"Williamstown School District","2513020","Did not receive either PA or Restart Grant"
"Williamstown School District","2513020","Did not receive either PA or Restart Grant"
"Orearville R-IV School District","2927450","Did not receive either PA or Restart Grant"
"Dent-Phelps R-III School District","2910710","Did not receive either PA or Restart Grant"
"Laredo R-VII School District","2917910","Received PA or Restart Grant"
"Howell Valley R-I School District","2915210","Did not receive either PA or Restart Grant"
"New York R-IV School District","2922110","Did not receive either PA or Restart Grant"
"Helena Flats Elementary School District","3013800","Did not receive either PA or Restart Grant"
"Pleasant Valley Elementary School District","3020880","Did not receive either PA or Restart Grant"
"West Valley Elementary School District","3027570","Did not receive either PA or Restart Grant"
"McLeod Elementary School District","3018060","Did not receive either PA or Restart Grant"
"Centerville Elementary School District","3025130","Did not receive either PA or Restart Grant"
"Ulm Elementary School District","3026880","Did not receive either PA or Restart Grant"
"Red Lodge Elementary School District","3022080","Did not receive either PA or Restart Grant"
"Red Lodge Elementary School District","3022080","Did not receive either PA or Restart Grant"
"Three Forks Elementary School District","3026160","Did not receive either PA or Restart Grant"
"Sand Springs Elementary School District","3012060","Did not receive either PA or Restart Grant"
"Columbus Elementary School District","3007190","Did not receive either PA or Restart Grant"
"Browning Elementary School District","3005140","Did not receive either PA or Restart Grant"
"Havre Elementary School District","3013560","Did not receive either PA or Restart Grant"
"Shelby Elementary School District","3023900","Did not receive either PA or Restart Grant"
"Brorson Elementary School District","3005130","Did not receive either PA or Restart Grant"
"Thompson Falls Elementary School District","3026070","Did not receive either PA or Restart Grant"
"Thompson Falls Elementary School District","3026070","Did not receive either PA or Restart Grant"
"King Colony Elementary School District","3015610","Did not receive either PA or Restart Grant"
"Grass Range Elementary School District","3012960","Did not receive either PA or Restart Grant"
"Denton Elementary School District","3008860","Did not receive either PA or Restart Grant"
"Billings Elementary School District","3003870","Did not receive either PA or Restart Grant"
"Zurich Elementary School District","3028910","Did not receive either PA or Restart Grant"
"North Harlem Colony Elementary School District","3019310","Did not receive either PA or Restart Grant"
"Fairfield Elementary School District","3010140","Did not receive either PA or Restart Grant"
"Pendroy Elementary School District","3020240","Did not receive either PA or Restart Grant"
"S H Elementary School District","3008040","Did not receive either PA or Restart Grant"
"Trail Creek Elementary School District","3026400","Did not receive either PA or Restart Grant"
"Harlowton Elementary School District","3013440","Did not receive either PA or Restart Grant"
"Hardin Elementary School District","3013310","Did not receive either PA or Restart Grant"
"Hardin Elementary School District","3013310","Did not receive either PA or Restart Grant"
"Wolf Point Elementary School District","3028590","Did not receive either PA or Restart Grant"
"Gallatin Gateway Elementary School District","3011790","Did not receive either PA or Restart Grant"
"Dillon Elementary School District","3008910","Did not receive either PA or Restart Grant"
"Stevensville Elementary School District","3025020","Did not receive either PA or Restart Grant"
"Stevensville Elementary School District","3025020","Did not receive either PA or Restart Grant"
"Jackson Elementary School District","3015060","Did not receive either PA or Restart Grant"
"Jackson Elementary School District","3015060","Did not receive either PA or Restart Grant"
"Savage Elementary School District","3023520","Did not receive either PA or Restart Grant"
"Polson Elementary School District","3021060","Did not receive either PA or Restart Grant"
"Charlo Elementary School District","3006112","Did not receive either PA or Restart Grant"
"Butte Elementary School District","3005280","Did not receive either PA or Restart Grant"
"Trego Elementary School District","3026460","Did not receive either PA or Restart Grant"
"Hawks Home Elementary School District","3013280","Did not receive either PA or Restart Grant"
"Missoula Elementary School District","3018570","Did not receive either PA or Restart Grant"
"Sunset Elementary School District","3025380","Did not receive either PA or Restart Grant"
"Swan Valley Elementary School District","3025530","Did not receive either PA or Restart Grant"
"Helena Elementary School District","3000005","Did not receive either PA or Restart Grant"
"Benton Lake Elementary School District","3003480","Did not receive either PA or Restart Grant"
"Avon Elementary School District","3002550","Did not receive either PA or Restart Grant"
"Gold Creek Elementary School District","3012570","Did not receive either PA or Restart Grant"
"Cayuse Prairie Elementary School District","3005990","Did not receive either PA or Restart Grant"
"Chester School District","3302250","Did not receive either PA or Restart Grant"
"Deerfield School District","3302580","Did not receive either PA or Restart Grant"
"Gilmanton School District","3303210","Did not receive either PA or Restart Grant"
"Hampton Falls School District","3303540","Did not receive either PA or Restart Grant"
"Landaff School District","3304170","Did not receive either PA or Restart Grant"
"New Boston School District","3305040","Did not receive either PA or Restart Grant"
"Newfields School District","3305190","Did not receive either PA or Restart Grant"
"Plainfield School District","3305760","Did not receive either PA or Restart Grant"
"Plainfield School District","3305760","Did not receive either PA or Restart Grant"
"Plymouth School District","3305790","Did not receive either PA or Restart Grant"
"Rye School District","3306030","Did not receive either PA or Restart Grant"
"Thornton School District","3306660","Did not receive either PA or Restart Grant"
"Warren School District","3306870","Did not receive either PA or Restart Grant"
"Washington School District","3306900","Did not receive either PA or Restart Grant"
"Stow Creek Township School District","3415840","Did not receive either PA or Restart Grant"
"Hamilton Township School District","3406510","Did not receive either PA or Restart Grant"
"Chouteau-Mazie Public Schools","4007670","Did not receive either PA or Restart Grant"
"Seminole Public Schools","4027300","Did not receive either PA or Restart Grant"
"Healdton Public Schools","4014130","Did not receive either PA or Restart Grant"
"Grandfield Public Schools","4013200","Did not receive either PA or Restart Grant"
"Grandfield Public Schools","4013200","Did not receive either PA or Restart Grant"
"Tipton Public Schools","4030030","Did not receive either PA or Restart Grant"
"Anadarko Public Schools","4003000","Did not receive either PA or Restart Grant"
"Taloga Public Schools","4029430","Did not receive either PA or Restart Grant"
"McCurtain Public Schools","4019410","Did not receive either PA or Restart Grant"
"Catoosa Public Schools","4006870","Did not receive either PA or Restart Grant"
"Latta Public Schools","4017190","Did not receive either PA or Restart Grant"
"Oologah-Talala Public Schools","4023040","Received PA or Restart Grant"
"Enid Public Schools","4010920","Received PA or Restart Grant"
"Dickson Public Schools","4009910","Did not receive either PA or Restart Grant"
"Oklahoma City Public Schools","4022770","Received PA or Restart Grant"
"Turner Public Schools","4030300","Did not receive either PA or Restart Grant"
"Turner Public Schools","4030300","Did not receive either PA or Restart Grant"
"Jay Public Schools","4015690","Did not receive either PA or Restart Grant"
"Jay Public Schools","4015690","Did not receive either PA or Restart Grant"
"Union City Public Schools","4030630","Did not receive either PA or Restart Grant"
"Waurika Public Schools","4031980","Did not receive either PA or Restart Grant"
"Waurika Public Schools","4031980","Did not receive either PA or Restart Grant"
"Morris Public Schools","4020310","Did not receive either PA or Restart Grant"
"Mounds Public Schools","4020550","Did not receive either PA or Restart Grant"
"Pond Creek-Hunter Schools","4024720","Did not receive either PA or Restart Grant"
"Fairland Public Schools","4011250","Did not receive either PA or Restart Grant"
"Braggs Public Schools","4005280","Did not receive either PA or Restart Grant"
"Porum Public Schools","4024840","Did not receive either PA or Restart Grant"
"Canute Public Schools","4006510","Received PA or Restart Grant"
"Hydro-Eakly Public Schools","4000032","Did not receive either PA or Restart Grant"
"Hobart Public Schools","4014700","Did not receive either PA or Restart Grant"
"Allen Public Schools","4002760","Did not receive either PA or Restart Grant"
"Cheyenne Public Schools","4007500","Did not receive either PA or Restart Grant"
"Erick Public Schools","4011040","Did not receive either PA or Restart Grant"
"Erick Public Schools","4011040","Did not receive either PA or Restart Grant"
"Wayne Public Schools","4032010","Did not receive either PA or Restart Grant"
"Keyes Public Schools","4016410","Did not receive either PA or Restart Grant"
"Keyes Public Schools","4016410","Did not receive either PA or Restart Grant"
"Wilburton Public Schools","4032790","Did not receive either PA or Restart Grant"
"Amber-Pocasset Public Schools","4002910","Did not receive either PA or Restart Grant"
"Newcastle Public Schools","4021510","Did not receive either PA or Restart Grant"
"Sapulpa Public Schools","4026910","Received PA or Restart Grant"
"Fletcher Public Schools","4011700","Did not receive either PA or Restart Grant"
"Valliant Public Schools","4030870","Did not receive either PA or Restart Grant"
"Valliant Public Schools","4030870","Did not receive either PA or Restart Grant"
"Edgemont Union Free School District","3610200","Did not receive either PA or Restart Grant"
"Irvington Union Free School District","3615450","Did not receive either PA or Restart Grant"
"Wapanucka Public Schools","4031590","Did not receive either PA or Restart Grant"
"Seneca Falls Central School District","3626430","Did not receive either PA or Restart Grant"
"East Rochester Union Free School District","3609930","Did not receive either PA or Restart Grant"
"Hilton Central School District","3614460","Did not receive either PA or Restart Grant"
"Laurens Central School District","3616800","Did not receive either PA or Restart Grant"
"Woodward Public Schools","4033180","Received PA or Restart Grant"
"Bemus Point Central School District","3604530","Did not receive either PA or Restart Grant"
"Alex Public Schools","4002670","Did not receive either PA or Restart Grant"
"Fredonia Central School District","3611520","Did not receive either PA or Restart Grant"
"West Irondequoit Central School District","3615390","Did not receive either PA or Restart Grant"
"Calumet Public Schools","4006240","Received PA or Restart Grant"
"Central Islip Union Free School District","3606870","Did not receive either PA or Restart Grant"
"Copiague Union Free School District","3608310","Did not receive either PA or Restart Grant"
"Spackenkill Union Free School District","3606500","Did not receive either PA or Restart Grant"
"Elmore City-Pernell Schools","4010860","Did not receive either PA or Restart Grant"
"East Greenbush Central School District","3609630","Did not receive either PA or Restart Grant"
"Mechanicville City School District","3618900","Did not receive either PA or Restart Grant"
"Sodus Central School District","3627120","Did not receive either PA or Restart Grant"
"Dover Union Free School District","3609210","Received PA or Restart Grant"
"Harrah Public Schools","4013890","Did not receive either PA or Restart Grant"
"Dover Union Free School District","3609210","Received PA or Restart Grant"
"Gloversville City School District","3612270","Received PA or Restart Grant"
"William Floyd Union Free School District","3618690","Did not receive either PA or Restart Grant"
"Niskayuna Central School District","3620880","Received PA or Restart Grant"
"Carle Place Union Free School District","3606540","Did not receive either PA or Restart Grant"
"Guthrie Public Schools","4013560","Received PA or Restart Grant"
"Byron-Bergen Central School District","3606090","Did not receive either PA or Restart Grant"
"Caney Public Schools","4006420","Did not receive either PA or Restart Grant"
"Lake Placid Central School District","3616500","Did not receive either PA or Restart Grant"
"Morrow School District 1","4108520","Did not receive either PA or Restart Grant"
"Dryden Central School District","3609330","Received PA or Restart Grant"
"Valley Central School District (Montgomery)","3619680","Did not receive either PA or Restart Grant"
"Morrow School District 1","4108520","Did not receive either PA or Restart Grant"
"Adel School District 21","4100990","Did not receive either PA or Restart Grant"
"Adel School District 21","4100990","Did not receive either PA or Restart Grant"
"Adel School District 21","4100990","Did not receive either PA or Restart Grant"
"Monroe-Woodbury Central School District","3619650","Did not receive either PA or Restart Grant"
"Butte Falls School District 91","4102580","Did not receive either PA or Restart Grant"
"Florida Union Free School District","3625320","Did not receive either PA or Restart Grant"
"Hastings-on-Hudson Union Free School District","3613950","Did not receive either PA or Restart Grant"
"Hastings-on-Hudson Union Free School District","3613950","Did not receive either PA or Restart Grant"
"Katonah-Lewisboro Union Free School District","3616080","Did not receive either PA or Restart Grant"
"Katonah-Lewisboro Union Free School District","3616080","Did not receive either PA or Restart Grant"
"Mount Vernon School District","3620100","Did not receive either PA or Restart Grant"
"Ossining Union Free School District","3622020","Did not receive either PA or Restart Grant"
"Little Falls City School District","3617460","Did not receive either PA or Restart Grant"
"Richfield Springs Central School District","3624570","Did not receive either PA or Restart Grant"
"Jefferson County School District 509J","4106740","Did not receive either PA or Restart Grant"
"Monroe School District 1J","4108430","Did not receive either PA or Restart Grant"
"Whitesboro Central School District","3631320","Received PA or Restart Grant"
"Phoenix-Talent School District 4","4109630","Did not receive either PA or Restart Grant"
"Phoenix-Talent School District 4","4109630","Did not receive either PA or Restart Grant"
"Parkrose School District 3","4109480","Did not receive either PA or Restart Grant"
"Pulaski Central School District","3623880","Did not receive either PA or Restart Grant"
"Parkrose School District 3","4109480","Did not receive either PA or Restart Grant"
"Schuylerville Central School District","3626160","Did not receive either PA or Restart Grant"
"Scio School District 95","4111040","Did not receive either PA or Restart Grant"
"Campbell-Savona Central School District","3600020","Did not receive either PA or Restart Grant"
"Hornell City School District","3614820","Did not receive either PA or Restart Grant"
"Yamhill-Carlton School District 1","4100016","Did not receive either PA or Restart Grant"
"Jefferson Central School District","3615720","Did not receive either PA or Restart Grant"
"Gervais School District 1","4100015","Did not receive either PA or Restart Grant"
"Walton Central School District","3629820","Did not receive either PA or Restart Grant"
"Ripley Central School District","3624660","Did not receive either PA or Restart Grant"
"Tigard-Tualatin School District 23J","4112240","Did not receive either PA or Restart Grant"
"Ripley Central School District","3624660","Did not receive either PA or Restart Grant"
"North Clackamas School District 12","4108830","Did not receive either PA or Restart Grant"
"Troy School District 54","4112360","Did not receive either PA or Restart Grant"
"Troy School District 54","4112360","Did not receive either PA or Restart Grant"
"Heuvelton Central School District","3614310","Did not receive either PA or Restart Grant"
"Norwood-Norfolk Central School District","3621360","Did not receive either PA or Restart Grant"
"Vale School District 84","4100014","Did not receive either PA or Restart Grant"
"Jericho Union Free School District","3615810","Did not receive either PA or Restart Grant"
"Falls City School District 57","4100003","Did not receive either PA or Restart Grant"
"Hyde Park Central School District","3615180","Received PA or Restart Grant"
"Perrydale School District 21","4109530","Did not receive either PA or Restart Grant"
"Germantown Central School District","3612030","Did not receive either PA or Restart Grant"
"Cheektowaga-Maryvale Union Free School District","3618600","Did not receive either PA or Restart Grant"
"Candor Central School District","3606420","Did not receive either PA or Restart Grant"
"Baker School District 5J","4101710","Did not receive either PA or Restart Grant"
"Adirondack Central School District","3605040","Did not receive either PA or Restart Grant"
"Paisley School District 11","4109430","Did not receive either PA or Restart Grant"
"Seaside School District 10","4111100","Did not receive either PA or Restart Grant"
"Elgin School District 23","4104590","Did not receive either PA or Restart Grant"
"Molalla River School District 35","4108310","Did not receive either PA or Restart Grant"
"Clatskanie School District 6J","4103260","Did not receive either PA or Restart Grant"
"Clatskanie School District 6J","4103260","Did not receive either PA or Restart Grant"
"Hood River County School District 1","4106510","Received PA or Restart Grant"
"Central Square Central School District","3606900","Did not receive either PA or Restart Grant"
"Hood River County School District 1","4106510","Received PA or Restart Grant"
"Indian River Central School District","3615300","Did not receive either PA or Restart Grant"
"Fabius-Pompey Central School District","3610860","Did not receive either PA or Restart Grant"
"Days Creek School District 15","4103960","Did not receive either PA or Restart Grant"
"Sutherlin School District 130","4111940","Received PA or Restart Grant"
"Naples Central School District","3620220","Did not receive either PA or Restart Grant"
"Myrtle Point School District 41","4100640","Did not receive either PA or Restart Grant"
"Phelps-Clifton Springs Central School District","3622890","Did not receive either PA or Restart Grant"
"Dayville School District 16J","4104020","Did not receive either PA or Restart Grant"
"Jordan-Elbridge Central School District","3615990","Did not receive either PA or Restart Grant"
"Waterville Central School District","3630160","Did not receive either PA or Restart Grant"
"Indian Lake Central School District","3615270","Did not receive either PA or Restart Grant"
"Eugene School District 4J","4104740","Received PA or Restart Grant"
"Afton Central School District","3602400","Received PA or Restart Grant"
"Lowell School District 71","4107590","Received PA or Restart Grant"
"Mapleton School District 32","4107710","Did not receive either PA or Restart Grant"
"Colton-Pierrepont Central School District","3608100","Did not receive either PA or Restart Grant"
"Banks School District 13","4101830","Did not receive either PA or Restart Grant"
"Victor Central School District","3629640","Did not receive either PA or Restart Grant"
"Cambridge Central School District","3606210","Did not receive either PA or Restart Grant"
"Cambridge Central School District","3606210","Did not receive either PA or Restart Grant"
"Granville Central School District","3612450","Did not receive either PA or Restart Grant"
"Granville Central School District","3612450","Did not receive either PA or Restart Grant"
"Redmond School District 2J","4110350","Received PA or Restart Grant"
"Elkton School District 34","4104620","Received PA or Restart Grant"
"Northern Potter School District","4217700","Did not receive either PA or Restart Grant"
"Lowville Academy and Central School District","3617820","Did not receive either PA or Restart Grant"
"Thousand Islands Central School District","3607650","Did not receive either PA or Restart Grant"
"Lakeland Central School District","3616620","Did not receive either PA or Restart Grant"
"Northern Potter School District","4217700","Did not receive either PA or Restart Grant"
"Tonawanda City School District","3628740","Did not receive either PA or Restart Grant"
"Elmira City School District","3610560","Did not receive either PA or Restart Grant"
"Fleetwood Area School District","4209780","Did not receive either PA or Restart Grant"
"Elmira City School District","3610560","Did not receive either PA or Restart Grant"
"Bradford Area School District","4204020","Did not receive either PA or Restart Grant"
"Bradford Area School District","4204020","Did not receive either PA or Restart Grant"
"Odessa-Montour Central School District","3621630","Did not receive either PA or Restart Grant"
"Susquehanna Valley Central School District","3628380","Received PA or Restart Grant"
"Susquehanna Valley Central School District","3628380","Received PA or Restart Grant"
"Susquenita School District","4223040","Did not receive either PA or Restart Grant"
"Lower Moreland Township School District","4214190","Did not receive either PA or Restart Grant"
"Voorheesville Central School District","3629670","Did not receive either PA or Restart Grant"
"Tri-Valley School District","4223700","Did not receive either PA or Restart Grant"
"Haldane Central School District","3613230","Did not receive either PA or Restart Grant"
"Freeport Area School District","4210440","Did not receive either PA or Restart Grant"
"Pottsville Area School District","4219710","Did not receive either PA or Restart Grant"
"Bolton Central School District","3605010","Did not receive either PA or Restart Grant"
"Seneca Valley School District","4222440","Did not receive either PA or Restart Grant"
"Nanuet Union Free School District","3620190","Did not receive either PA or Restart Grant"
"Troy City School District","3628950","Received PA or Restart Grant"
"Forbes Road School District","4209870","Did not receive either PA or Restart Grant"
"Andes Central School District","3603000","Did not receive either PA or Restart Grant"
"Schalmont Central School District","3625980","Did not receive either PA or Restart Grant"
"Queensbury Union Free School District","3624030","Did not receive either PA or Restart Grant"
"Connellsville Area School District","4206660","Did not receive either PA or Restart Grant"
"West Valley Central School District","3630900","Did not receive either PA or Restart Grant"
"Fulton City School District","3611700","Did not receive either PA or Restart Grant"
"Brownsville Area School District","4204080","Did not receive either PA or Restart Grant"
"Bristol Township School District","4204230","Did not receive either PA or Restart Grant"
"Moravia Central School District","3619800","Did not receive either PA or Restart Grant"
"Oakfield-Alabama Central School District","3621510","Did not receive either PA or Restart Grant"
"Bristol Township School District","4204230","Did not receive either PA or Restart Grant"
"Salamanca City School District","3625440","Did not receive either PA or Restart Grant"
"Newfane Central School District","3620760","Did not receive either PA or Restart Grant"
"Souderton Area School District","4221870","Did not receive either PA or Restart Grant"
"Antietam School District","4202480","Did not receive either PA or Restart Grant"
"Niagara-Wheatfield Central School District","3620850","Did not receive either PA or Restart Grant"
"Depew Union Free School District","3609030","Did not receive either PA or Restart Grant"
"Port Jervis City School District","3623520","Did not receive either PA or Restart Grant"
"Marion Center Area School District","4214730","Did not receive either PA or Restart Grant"
"Port Jervis City School District","3623520","Did not receive either PA or Restart Grant"
"Port Jervis City School District","3623520","Did not receive either PA or Restart Grant"
"United School District","4224240","Did not receive either PA or Restart Grant"
"Fallsburg Central School District","3610950","Received PA or Restart Grant"
"Sullivan West Central School District","3600023","Received PA or Restart Grant"
"Sullivan West Central School District","3600023","Received PA or Restart Grant"
"Shoreham-Wading River Central School District","3626840","Did not receive either PA or Restart Grant"
"Manheim Central School District","4214550","Did not receive either PA or Restart Grant"
"Malone Central School District","3618180","Received PA or Restart Grant"
"Wilkes-Barre Area School District","4226300","Did not receive either PA or Restart Grant"
"East Stroudsburg Area School District","4208670","Did not receive either PA or Restart Grant"
"East Stroudsburg Area School District","4208670","Did not receive either PA or Restart Grant"
"North Clarion County School District","4217130","Did not receive either PA or Restart Grant"
"Caldwell County Schools","3700580","Did not receive either PA or Restart Grant"
"Union School District","4224120","Did not receive either PA or Restart Grant"
"Edenton-Chowan Schools","3700840","Did not receive either PA or Restart Grant"
"Clay County Schools","3700870","Did not receive either PA or Restart Grant"
"Moshannon Valley School District","4215960","Did not receive either PA or Restart Grant"
"Charleroi School District","4205640","Did not receive either PA or Restart Grant"
"Clay County Schools","3700870","Did not receive either PA or Restart Grant"
"Columbus County Schools","3700960","Received PA or Restart Grant"
"South Williamsport Area School District","4222140","Did not receive either PA or Restart Grant"
"Muncy School District","4216230","Did not receive either PA or Restart Grant"
"Columbus County Schools","3700960","Received PA or Restart Grant"
"Dare County Schools","3701110","Received PA or Restart Grant"
"West Shore School District","4225830","Did not receive either PA or Restart Grant"
"Great Valley School District","4210870","Did not receive either PA or Restart Grant"
"Berwick Area School District","4203480","Did not receive either PA or Restart Grant"
"Cameron County School District","4204830","Did not receive either PA or Restart Grant"
"Norristown Area School District","4216980","Did not receive either PA or Restart Grant"
"Eastern York School District","4208790","Did not receive either PA or Restart Grant"
"Greensburg Salem School District","4210920","Did not receive either PA or Restart Grant"
"Forest City Regional School District","4209930","Did not receive either PA or Restart Grant"
"Scranton School District","4221090","Did not receive either PA or Restart Grant"
"Durham Public Schools","3701260","Did not receive either PA or Restart Grant"
"Lehighton Area School District","4213500","Did not receive either PA or Restart Grant"
"Hopewell Area School District","4212030","Did not receive either PA or Restart Grant"
"Southern Lehigh School District","4222350","Did not receive either PA or Restart Grant"
"Wattsburg Area School District","4225080","Did not receive either PA or Restart Grant"
"Forsyth County Schools","3701500","Received PA or Restart Grant"
"Wattsburg Area School District","4225080","Did not receive either PA or Restart Grant"
"Valley Grove School District","4224630","Did not receive either PA or Restart Grant"
"Mahanoy Area School District","4214430","Did not receive either PA or Restart Grant"
"Tunkhannock Area School District","4223850","Did not receive either PA or Restart Grant"
"Apollo-Ridge School District","4202550","Did not receive either PA or Restart Grant"
"Coatesville Area School District","4206240","Did not receive either PA or Restart Grant"
"Penns Valley Area School District","4218810","Did not receive either PA or Restart Grant"
"Halifax County Schools","3701950","Did not receive either PA or Restart Grant"
"Conewago Valley School District","4206550","Did not receive either PA or Restart Grant"
"Shenango Area School District","4221510","Did not receive either PA or Restart Grant"
"Beaver Area School District","4203120","Did not receive either PA or Restart Grant"
"Sharpsville Area School District","4221420","Did not receive either PA or Restart Grant"
"Sharpsville Area School District","4221420","Did not receive either PA or Restart Grant"
"Meyersdale Area School District","4215150","Did not receive either PA or Restart Grant"
"Meyersdale Area School District","4215150","Did not receive either PA or Restart Grant"
"Harnett County Schools","3702010","Received PA or Restart Grant"
"Henderson County Schools","3702100","Did not receive either PA or Restart Grant"
"North Star School District","4210115","Did not receive either PA or Restart Grant"
"Conrad Weiser Area School District","4206780","Did not receive either PA or Restart Grant"
"Southern Tioga School District","4222370","Did not receive either PA or Restart Grant"
"Northampton Area School District","4217370","Did not receive either PA or Restart Grant"
"Henderson County Schools","3702100","Did not receive either PA or Restart Grant"
"York City School District","4226820","Did not receive either PA or Restart Grant"
"Norwin School District","4217940","Did not receive either PA or Restart Grant"
"Conneaut School District","4206590","Did not receive either PA or Restart Grant"
"Iredell-Statesville Schools","3702310","Did not receive either PA or Restart Grant"
"Jackson County Schools","3702340","Did not receive either PA or Restart Grant"
"Conneaut School District","4206590","Did not receive either PA or Restart Grant"
"DuBois Area School District","4207830","Did not receive either PA or Restart Grant"
"Juniata Valley School District","4212630","Did not receive either PA or Restart Grant"
"Chartiers Valley School District","4205700","Did not receive either PA or Restart Grant"
"West Mifflin Area School District","4225680","Did not receive either PA or Restart Grant"
"Northeast Bradford School District","4217460","Did not receive either PA or Restart Grant"
"Northeast Bradford School District","4217460","Did not receive either PA or Restart Grant"
"Radnor Township School District","4219920","Did not receive either PA or Restart Grant"
"Southeast Delco School District","4222400","Did not receive either PA or Restart Grant"
