"Name","Geoid","pa_or_restart_cat"
"Bogus Elementary School District","0605490","Did not receive either PA or Restart Grant"
"Delphic Elementary School District","0610980","Did not receive either PA or Restart Grant"
"Forks of Salmon Elementary School District","0614040","Did not receive either PA or Restart Grant"
"Happy Camp Union Elementary School District","0616530","Did not receive either PA or Restart Grant"
"Happy Camp Union Elementary School District","0616530","Did not receive either PA or Restart Grant"
"Klamath River Union Elementary School District","0619920","Did not receive either PA or Restart Grant"
"Klamath River Union Elementary School District","0619920","Did not receive either PA or Restart Grant"
"Mount Shasta Union Elementary School District","0626040","Did not receive either PA or Restart Grant"
"Bonny Doon Union Elementary School District","0605640","Did not receive either PA or Restart Grant"
"Happy Valley Elementary School District","0616560","Did not receive either PA or Restart Grant"
"Live Oak Elementary School District","0621990","Did not receive either PA or Restart Grant"
"West Park Elementary School District","0642060","Did not receive either PA or Restart Grant"
"Ballard Elementary School District","0603720","Did not receive either PA or Restart Grant"
"Blochman Union Elementary School District","0605280","Did not receive either PA or Restart Grant"
"Cold Spring Elementary School District","0609270","Received PA or Restart Grant"
"Goleta Union Elementary School District","0615510","Received PA or Restart Grant"
"Guadalupe Union Elementary School District","0616260","Did not receive either PA or Restart Grant"
"Spencer Valley Elementary School District","0637680","Did not receive either PA or Restart Grant"
"Lennox Elementary School District","0621420","Did not receive either PA or Restart Grant"
"Brawley Elementary School District","0605790","Did not receive either PA or Restart Grant"
"El Centro Elementary School District","0612030","Did not receive either PA or Restart Grant"
"Heber Elementary School District","0616830","Did not receive either PA or Restart Grant"
"Seeley Union Elementary School District","0636210","Did not receive either PA or Restart Grant"
"Armona Union Elementary School District","0603180","Did not receive either PA or Restart Grant"
"Kings River-Hardwick Union Elementary School District","0619770","Did not receive either PA or Restart Grant"
"Victor Elementary School District","0641040","Did not receive either PA or Restart Grant"
"Cucamonga Elementary School District","0616300","Did not receive either PA or Restart Grant"
"Helendale Elementary School District","0616860","Did not receive either PA or Restart Grant"
"Alta-Dutch Flat Union Elementary School District","0602250","Did not receive either PA or Restart Grant"
"Auburn Union Elementary School District","0603480","Did not receive either PA or Restart Grant"
"Cayucos Elementary School District","0607840","Did not receive either PA or Restart Grant"
"Bass Lake Joint Union Elementary School District","0604080","Did not receive either PA or Restart Grant"
"Dry Creek Joint Elementary School District","0611490","Did not receive either PA or Restart Grant"
"Eureka Union Elementary School District","0613080","Did not receive either PA or Restart Grant"
"Elverta Joint Elementary School District","0612600","Did not receive either PA or Restart Grant"
"Cuddeback Union Elementary School District","0610230","Did not receive either PA or Restart Grant"
"Cutten Elementary School District","0610380","Did not receive either PA or Restart Grant"
"Fieldbrook Elementary School District","0613740","Did not receive either PA or Restart Grant"
"Green Point Elementary School District","0615990","Did not receive either PA or Restart Grant"
"Jacoby Creek Elementary School District","0618660","Did not receive either PA or Restart Grant"
"Orick Elementary School District","0628830","Did not receive either PA or Restart Grant"
"Pacific Union Elementary School District","0629430","Did not receive either PA or Restart Grant"
"Brentwood Union Elementary School District","0605910","Did not receive either PA or Restart Grant"
"Peninsula Union Elementary School District","0630090","Did not receive either PA or Restart Grant"
"Canyon Elementary School District","0607350","Did not receive either PA or Restart Grant"
"Walnut Creek Elementary School District","0641250","Did not receive either PA or Restart Grant"
"Briggs Elementary School District","0606030","Received PA or Restart Grant"
"Hueneme Elementary School District","0617850","Received PA or Restart Grant"
"Howell Mountain Elementary School District","0617760","Did not receive either PA or Restart Grant"
"Arena Union Elementary School District","0603090","Did not receive either PA or Restart Grant"
"Elkins Elementary School District","0612420","Did not receive either PA or Restart Grant"
"Gerber Union Elementary School District","0615090","Did not receive either PA or Restart Grant"
"Pleasant Valley Elementary School District","0630990","Did not receive either PA or Restart Grant"
"Santa Clara Elementary School District","0635490","Received PA or Restart Grant"
"Camptonville Elementary School District","0607260","Did not receive either PA or Restart Grant"
"Plumas Lake Elementary School District","0631180","Did not receive either PA or Restart Grant"
"Chicago Park Elementary School District","0608340","Did not receive either PA or Restart Grant"
"Union Hill Elementary School District","0640380","Did not receive either PA or Restart Grant"
"Lucerne Elementary School District","0623040","Did not receive either PA or Restart Grant"
"Belleview Elementary School District","0604500","Did not receive either PA or Restart Grant"
"Robla Elementary School District","0633240","Did not receive either PA or Restart Grant"
"Alexander Valley Union School District","0601890","Did not receive either PA or Restart Grant"
"Bellevue Union School District","0604380","Did not receive either PA or Restart Grant"
"Cinnabar Elementary School District","0608700","Did not receive either PA or Restart Grant"
"Dunham Elementary School District","0611610","Did not receive either PA or Restart Grant"
"Forestville Union Elementary School District","0614010","Did not receive either PA or Restart Grant"
"Fort Ross Elementary School District","0614130","Did not receive either PA or Restart Grant"
"Bangor Union Elementary School District","0603780","Received PA or Restart Grant"
"Kenwood Elementary School District","0619410","Did not receive either PA or Restart Grant"
"Kashia Elementary School District","0632340","Did not receive either PA or Restart Grant"
"Alisal Union Elementary School District","0601950","Received PA or Restart Grant"
"Bitterwater-Tully Union Elementary School District","0605190","Did not receive either PA or Restart Grant"
"Bradley Union Elementary School District","0605730","Did not receive either PA or Restart Grant"
"Chatom Union Elementary School District","0608250","Did not receive either PA or Restart Grant"
"Empire Union Elementary School District","0612690","Did not receive either PA or Restart Grant"
"Gratton Elementary School District","0615810","Did not receive either PA or Restart Grant"
"Golden Feather Union Elementary School District","0615480","Received PA or Restart Grant"
"Manzanita Elementary School District","0623700","Received PA or Restart Grant"
"Brittan Elementary School District","0606090","Did not receive either PA or Restart Grant"
"Graves Elementary School District","0615870","Did not receive either PA or Restart Grant"
"Greenfield Union Elementary School District","0616080","Did not receive either PA or Restart Grant"
"Lagunita Elementary School District","0620490","Did not receive either PA or Restart Grant"
"Washington Union Elementary School District","0641610","Did not receive either PA or Restart Grant"
"Paradise Elementary School District","0629790","Did not receive either PA or Restart Grant"
"Roberts Ferry Union Elementary School District","0633210","Did not receive either PA or Restart Grant"
"Salida Union Elementary School District","0633900","Did not receive either PA or Restart Grant"
"Alum Rock Union Elementary School District","0602310","Did not receive either PA or Restart Grant"
"Cupertino Union Elementary School District","0610290","Did not receive either PA or Restart Grant"
"Oak Valley Union Elementary School District","0627900","Did not receive either PA or Restart Grant"
"Alta Vista Elementary School District","0602220","Did not receive either PA or Restart Grant"
"Lawnside Borough School District","3408340","Did not receive either PA or Restart Grant"
"Lincoln Park Borough School District","3408580","Did not receive either PA or Restart Grant"
"Orange City Township School District","3412270","Did not receive either PA or Restart Grant"
"Paulsboro Borough School District","3412720","Did not receive either PA or Restart Grant"
"Paulsboro Borough School District","3412720","Did not receive either PA or Restart Grant"
"Union Beach Borough School District","3416350","Did not receive either PA or Restart Grant"
"Weymouth Township School District","3417850","Did not receive either PA or Restart Grant"
"Wildwood Crest Borough School District","3417970","Did not receive either PA or Restart Grant"
"Woodbine Borough School District","3418090","Did not receive either PA or Restart Grant"
"Woodlynne Borough School District","3418270","Did not receive either PA or Restart Grant"
"Milltown Borough School District","3410290","Did not receive either PA or Restart Grant"
"Lakewood Township School District","3408220","Did not receive either PA or Restart Grant"
"Ocean City School District","3411970","Did not receive either PA or Restart Grant"
"Belvidere Town School District","3401440","Did not receive either PA or Restart Grant"
"Belvidere Town School District","3401440","Did not receive either PA or Restart Grant"
"Avon-by-the-Sea Borough School District","3401140","Did not receive either PA or Restart Grant"
"Bay Head Borough School District","3401230","Did not receive either PA or Restart Grant"
"Beverly City School District","3401740","Did not receive either PA or Restart Grant"
"Beverly City School District","3401740","Did not receive either PA or Restart Grant"
"Branchburg Township School District","3402160","Did not receive either PA or Restart Grant"
"Deal Borough School District","3403630","Did not receive either PA or Restart Grant"
"Boonton Town School District","3401950","Received PA or Restart Grant"
"Butler Borough School District","3402520","Received PA or Restart Grant"
"Ocean Township School District","3412090","Did not receive either PA or Restart Grant"
"Madison Borough School District","3409240","Received PA or Restart Grant"
"Port Republic City School District","3413380","Did not receive either PA or Restart Grant"
"Riverton Borough School District","3414040","Did not receive either PA or Restart Grant"
"Riverton Borough School District","3414040","Did not receive either PA or Restart Grant"
"Midland Park Borough School District","3410140","Did not receive either PA or Restart Grant"
"Spring Lake Borough School District","3415570","Did not receive either PA or Restart Grant"
"Bogota Borough School District","3401920","Did not receive either PA or Restart Grant"
"Matawan-Aberdeen Regional School District","3409750","Did not receive either PA or Restart Grant"
"Plumsted Township School District","3413230","Did not receive either PA or Restart Grant"
"Newton Town School District","3411400","Did not receive either PA or Restart Grant"
"Spotswood Borough School District","3415540","Did not receive either PA or Restart Grant"
"Somerville Borough School District","3415090","Did not receive either PA or Restart Grant"
"Vaughn Municipal Schools","3500001","Did not receive either PA or Restart Grant"
"Rio Rancho Public Schools","3500010","Did not receive either PA or Restart Grant"
"Alamogordo Public Schools","3500030","Did not receive either PA or Restart Grant"
"Alamogordo Public Schools","3500030","Did not receive either PA or Restart Grant"
"Belen Consolidated Schools","3500180","Did not receive either PA or Restart Grant"
"Bloomfield Municipal Schools","3500240","Did not receive either PA or Restart Grant"
"Capitan Municipal Schools","3500270","Did not receive either PA or Restart Grant"
"Clovis Municipal Schools","3500570","Did not receive either PA or Restart Grant"
"Cobre Consolidated Schools","3500600","Did not receive either PA or Restart Grant"
"Dexter Consolidated Schools","3500750","Did not receive either PA or Restart Grant"
"Dora Consolidated Schools","3500790","Did not receive either PA or Restart Grant"
"Dora Consolidated Schools","3500790","Did not receive either PA or Restart Grant"
"Española Municipal Schools","3500900","Did not receive either PA or Restart Grant"
"Eunice Municipal Schools","3500960","Did not receive either PA or Restart Grant"
"Eunice Municipal Schools","3500960","Did not receive either PA or Restart Grant"
"House Municipal Schools","3501320","Did not receive either PA or Restart Grant"
"Las Vegas City Public Schools","3501530","Did not receive either PA or Restart Grant"
"Logan Municipal Schools","3501590","Did not receive either PA or Restart Grant"
"Logan Municipal Schools","3501590","Did not receive either PA or Restart Grant"
"Lordsburg Municipal Schools","3501620","Did not receive either PA or Restart Grant"
"Lordsburg Municipal Schools","3501620","Did not receive either PA or Restart Grant"
"Maxwell Municipal Schools","3501800","Did not receive either PA or Restart Grant"
"Quemado Independent Schools","3502130","Did not receive either PA or Restart Grant"
"Quemado Independent Schools","3502130","Did not receive either PA or Restart Grant"
"Questa Independent Schools","3502160","Did not receive either PA or Restart Grant"
"Questa Independent Schools","3502160","Did not receive either PA or Restart Grant"
"Santa Fe Public Schools","3502370","Did not receive either PA or Restart Grant"
"Zuni Public Schools","3502800","Did not receive either PA or Restart Grant"
"Zuni Public Schools","3502800","Did not receive either PA or Restart Grant"
"North Shore Central School District","3626370","Did not receive either PA or Restart Grant"
"Seaford Union Free School District","3626400","Did not receive either PA or Restart Grant"
"Bradford Central School District","3605220","Did not receive either PA or Restart Grant"
"Milford Central School District","3619350","Did not receive either PA or Restart Grant"
"Herricks Union Free School District","3614280","Did not receive either PA or Restart Grant"
"Alfred-Almond Central School District","3602700","Did not receive either PA or Restart Grant"
"Letchworth Central School District","3617130","Did not receive either PA or Restart Grant"
"Portville Central School District","3623640","Did not receive either PA or Restart Grant"
"Brockport Central School District","3605580","Did not receive either PA or Restart Grant"
"East Irondequoit Central School District","3609690","Did not receive either PA or Restart Grant"
"Gates-Chili Central School District","3611880","Did not receive either PA or Restart Grant"
"Westbury Union Free School District","3630960","Did not receive either PA or Restart Grant"
"Coxsackie-Athens Central School District","3608490","Did not receive either PA or Restart Grant"
"Georgetown-South Otselic Central School District","3622100","Did not receive either PA or Restart Grant"
"Gilbertsville-Mount Upton Central School District","3604757","Did not receive either PA or Restart Grant"
"Oxford Academy and Central School District","3622260","Did not receive either PA or Restart Grant"
"Onteora Central School District","3621840","Did not receive either PA or Restart Grant"
"Whitesville Central School District","3631350","Did not receive either PA or Restart Grant"
"Whitesville Central School District","3631350","Did not receive either PA or Restart Grant"
"Malverne Union Free School District","3618210","Did not receive either PA or Restart Grant"
"Plainview-Old Bethpage Central School District","3623220","Did not receive either PA or Restart Grant"
"Cato-Meridian Central School District","3606690","Did not receive either PA or Restart Grant"
"Huntington Union Free School District","3615090","Did not receive either PA or Restart Grant"
"Gorham-Middlesex Central School District (Marcus Whitman)","3612300","Did not receive either PA or Restart Grant"
"Lyons Central School District","3618030","Did not receive either PA or Restart Grant"
"Belfast Central School District","3604350","Did not receive either PA or Restart Grant"
"Caledonia-Mumford Central School District","3606180","Did not receive either PA or Restart Grant"
"Gilboa-Conesville Central School District","3612120","Did not receive either PA or Restart Grant"
"Trumansburg Central School District","3628980","Did not receive either PA or Restart Grant"
"Marlboro Central School District","3618570","Did not receive either PA or Restart Grant"
"Canajoharie Central School District","3606300","Received PA or Restart Grant"
"Broadalbin-Perth Central School District","3600005","Received PA or Restart Grant"
"Ballston Spa Central School District","3603930","Received PA or Restart Grant"
"Connetquot Central School District","3608160","Did not receive either PA or Restart Grant"
"East Hampton Union Free School District","3609660","Did not receive either PA or Restart Grant"
"Longwood Central School District","3619230","Did not receive either PA or Restart Grant"
"Southold Union Free School District","3627620","Did not receive either PA or Restart Grant"
"Three Village Central School District","3628200","Did not receive either PA or Restart Grant"
"Mount Morris Central School District","3620010","Did not receive either PA or Restart Grant"
"Iroquois Central School District","3615360","Did not receive either PA or Restart Grant"
"Clarence Central School District","3607590","Did not receive either PA or Restart Grant"
"Evans-Brant Central School District (Lake Shore)","3616560","Did not receive either PA or Restart Grant"
"Sweet Home Central School District","3628500","Did not receive either PA or Restart Grant"
"Scarsdale Union Free School District","3625950","Did not receive either PA or Restart Grant"
"Romulus Central School District","3624930","Did not receive either PA or Restart Grant"
"Garrison Union Free School District","3611860","Did not receive either PA or Restart Grant"
"Marathon Central School District","3618450","Did not receive either PA or Restart Grant"
"Chazy Union Free School District","3607170","Did not receive either PA or Restart Grant"
"Chazy Union Free School District","3607170","Did not receive either PA or Restart Grant"
"Northern Adirondack Central School District","3621260","Did not receive either PA or Restart Grant"
"Babylon Union Free School District","3603720","Did not receive either PA or Restart Grant"
"Bayport-Blue Point Union Free School District","3604110","Did not receive either PA or Restart Grant"
"AuSable Valley Central School District","3616170","Did not receive either PA or Restart Grant"
"AuSable Valley Central School District","3616170","Did not receive either PA or Restart Grant"
"Spencer-Van Etten Central School District","3627750","Did not receive either PA or Restart Grant"
"Peekskill City School District","3622650","Did not receive either PA or Restart Grant"
"Pittsford Central School District","3623160","Did not receive either PA or Restart Grant"
"Wayne Central School District","3630330","Did not receive either PA or Restart Grant"
"Lyndonville Central School District","3617970","Did not receive either PA or Restart Grant"
"Baldwin Union Free School District","3603840","Did not receive either PA or Restart Grant"
"Cheektowaga Central School District","3607230","Did not receive either PA or Restart Grant"
"Hamburg Central School District","3613350","Did not receive either PA or Restart Grant"
"Berne-Knox-Westerlo Central School District","3604650","Received PA or Restart Grant"
"Minerva Central School District","3619530","Did not receive either PA or Restart Grant"
"Putnam Central School District","3623970","Did not receive either PA or Restart Grant"
"Putnam Central School District","3623970","Did not receive either PA or Restart Grant"
